Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Spoofs Images,Hide image?,Spoof Category,Caption,Featured?,Author Credit
Escape the Fantasy,escape-the-fantasy,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae57,false,false,Sat Jan 09 2021 00:16:14 GMT+0000 (Coordinated Universal Time),Sat Jan 09 2021 00:16:14 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8f5c366ed9020f9f4e957_eco_8_600px.jpg,false,PSYCHO,,false,
Exhausted,exhausted,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042adad,false,false,Tue Dec 29 2020 21:29:32 GMT+0000 (Coordinated Universal Time),Tue Dec 29 2020 21:29:32 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5feb9faa5a5dffd3f14b92fa_Exhausted.jpg,false,ECOLOGICAL,,false,
Fascist Design,fascist-design,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042aef1,false,false,Mon Apr 19 2021 23:02:55 GMT+0000 (Coordinated Universal Time),Fri Apr 30 2021 21:41:14 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/607e0bebcd6425783453c5f7_fascist_design_600x750.jpg,false,AESTHETICO,"""Design is Becoming More Fascist - Featured in Adbusters #152""",false,
Fashion Slashin,fashion-slashin,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae5e,false,false,Sat Jan 09 2021 00:20:22 GMT+0000 (Coordinated Universal Time),Sat Jan 09 2021 00:20:22 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8f6b7e8725a876626aac2_fashion_slashin_7_600px.jpg,false,AESTHETICO,,false,
Fat and Salt,fat-and-salt,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042af3d,false,false,Thu Jun 10 2021 21:29:52 GMT+0000 (Coordinated Universal Time),Thu Jun 17 2021 19:44:00 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/60c2842a6779e1890588fbbd_spoof-fat-and-salt_600x749.jpg,false,CORPO,Midnight in the Kingdom of Fat and Salt,false,
Feed Me,feed-me,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042adae,false,false,Tue Dec 29 2020 21:29:53 GMT+0000 (Coordinated Universal Time),Tue Dec 29 2020 21:29:53 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5feb9fc65ceaed4052d586e3_FeedMe.jpg,false,AESTHETICO,,false,
Food Fight,food-fight,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae65,false,false,Sat Jan 09 2021 00:26:17 GMT+0000 (Coordinated Universal Time),Sat Jan 09 2021 00:26:17 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8f81f75a5c119c73109a6_food_fight_5_600px.jpg,false,CORPO,,false,
GAP,gap,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae5c,false,false,Sat Jan 09 2021 00:18:22 GMT+0000 (Coordinated Universal Time),Sat Jan 09 2021 00:18:22 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8f645f68ce34f654c729b_fashion_slashin_4_600px.jpg,false,CORPO,,false,
General Strike Summer,general-strike-summer,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ade9,false,false,Tue Dec 29 2020 21:41:20 GMT+0000 (Coordinated Universal Time),Tue Dec 29 2020 21:41:20 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5feba270fdc95853cfae0144_STRIKE.jpg,false,PSYCHO,,false,
Gollum Chevron,gollum-chevron,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042adc1,false,false,Tue Dec 29 2020 21:31:26 GMT+0000 (Coordinated Universal Time),Tue Dec 29 2020 21:31:26 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5feba01ef723ca96f06895d8_gollum-chevron.jpg,false,PSYCHO,,false,
